S_ID,Gender,Athlete,Sport,SSS,AES/Tok,Transfer,Continuing,Prev_proff,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6
1828,F,y,WTF,,,,,Muth,9,4,21,2,30,21
1838,,,,,,,,,26,15,12,1,17,12
1847,F,,, ,,,,Holzwarth,,,,,,
1852,F,,,, ,,,Roberts,27,25,18,12,22,18
1858,F,,,,1,,,Cameron-Dominguez,4,18,13,23,9,13
1877,F,,,,,,,Morrill,1,23,15,10,2,15
1898,M, ,,,,,,JohnsonL,19,11,25,28,12,25
1908,F,,,,,,,Muth,9,13,31,19,2,31
1946,M,,,,,,,Copenhaver,13,21,12,19,31,12
1949,F,,,,,,,Galaty,12,13,17,11,18,17
1952,M,,,,,,,JohnsonL,15,5,12,27,1,12
1957,F,,,,,,,Simek,17,1,15,5,19,15
1977,F,y,WBK,,,,,Reed,18,21,19,11,25,19
1997,M,,,,,,,Williams,18,7,11,31,12,11
1999,M,y,FB MTF,1,,,,Muth,22,21,24,9,16,24
2012,M,,,,2,,,JohnsonC,1,23,26,15,14,26
2023,M,,,2,,,,Drayton,11,25,27,29,,27
2025,M,,,,,,,Muth,21,3,18,32,9,18
2029,F,,,,1,,,Cushman,7,8,12,31,25,12
2030,F,,,,,,,JohnsonC,17,25,23,12,33,23
2039,F,,,,,,2,JohnsonL,15,8,4,22,2,4
2042,,,,,,,,,26,17,4,27,21,4
2043,F,,,,,,,Copenhaver,10,24,19,27,34,19
2047,M,,,2,,,,JohnsonC,12,3,21,31,1,2
2049,M,,,,,,,Roberts,11,12,13,29,14,13
2058,F,,,1,2,,,Drayton,15,7,30,12,22,27
2059,M,,,,,,,Galaty,7,21,17,12,18,17
2060,M,,,,, ,,Schestag,13,22,25,11,1,25
2062,F,,,,,,,Fujie,4,3,30,15,1,2
2105,F,,,,,,,Cushman,9,4,13,14,2,13
2107,M,,,,,,,Reed,13,12,11,19,25,11
2108,F,,,,,,,JohnsonL,13,29,22,7,28,22
2114,F,,,,,,,Holzwarth,23,8,27,11,13,27
2115,M,y,FB,,,,,Sweek,25,12,11,22,18,11
2123,F,,,,,,,Toutonghi,1,25,23,28,4,23
2124,F,,,,,,,Drayton,7,12,5,25,19,5
2126,,,,,,,,,18,26,12,24,22,12
2127,M,y,BB,,,,,JohnsonC,2,10,20,29,30,20
2142,F,,,,,,,JohnsonC,8,25,31,22,21,31
2147,F,,,,,,,Mirabile,12,11,13,19,31,13
2148,F,,,,,,,Schestag,7,12,31,21,11,31
2150,M,,,,,,,Cushman,4,21,25,32,9,25
2154,F,y,SO,,,,,Galaty,7,25,17,29,12,17
2156,M,,,,,,,JohnsonC,13,11,10,21,12,10
2159,F,y,WCC,, ,,,Smith,3,25,27,24,29,27
2161,F,,,1,,,,Drayton,3,13,9,21,12,9
2162,M,,,,,,,Fujie,4,33,32,3,11,32
2166,M,,,,,,,Schestag,12,11,13,23,17,13
2167,F,,,,,,,Cameron-Dominguez,14,27,15,24,4,15
2168,F,,,,,,,Cushman,15,21,30,12,18,2
2169,F,y,WTF,2,,,,Toutonghi,2,17,13,7,23,13
2180,F,,,,,,,Glosser,8,24,7,6,21,7
2192,M,,,,,,,Holzwarth,4,19,21,2,1,21
2207,F,,,,,,,JohnsonL,34,12,4,13,33,4
2221,F,,,,,,,Simek,2,1,20,10,18,20
2236,F,,,,,,,Glosser,23,31,13,12,7,13
2253,F,,,,,,,Schestag,12,11,13,17,25,13
2278,F,,,,,,,Copenhaver,10,9,18,28,15,18
2291,F,y,WTF,,,,,Smith,23,13,7,4,17,7
2299,M,,,,,,,Fujie,10,11,13,29,21,13
2301,F,,,,,,,Holzwarth,2,13,30,17,16,31
2328,F, ,,,,,,Schestag,9,12,11,19,32,11
2330,F,,,,,,,Muth,21,32,24,9,15,24
2335,M,,,1,,,,Morrill,19,21,31,22,28,31
2362,F,,,,,,,Lochner,,,,,,
2380,M,y,FB MTF,2,,,1,JohnsonL,22,11,31,29,12,31
2382,F,,,,,,,Cushman,31,12,15,18,29,15
2386,F,,,,,,,Copenhaver,13,12,4,29,11,4
2387,M, ,,,,,,JohnsonC,2,11,10,13,3,10
2389,F,,,1,,,,Fujie,13,7,12,27,11,12
2395,F,y,SO VB WRW, ,1,,,JohnsonL,12,21,8,11,19,8
2396,F,,,,,,,Holzwarth,8,7,28,21,18,28
2399,M,,,,,,,Drayton,5,11,7,12,27,7
2412,F,,,,,,,Ritchey,1,2,11,16,30,11
2418,F,,,,,,,Schestag,4,17,13,18,10,13
2419,M,,,,,,,Williams,9,19,13,29,11,13
2427,M,,,,,,,Holzwarth,8,5,27,12,4,27
2452,M,,,2,,,,Cameron-Dominguez,18,9,21,10,28,21
2455,M,,,,,,,Toutonghi,15,13,12,21,24,12
2462,F,,,,,,,Williams,12,10,25,21,3,25
2475,M, ,,,,,,Williams,21,19,23,13,15,23
2478,F,,,,,2,,Reed,21,5,4,13,17,4
2499,F,,,,,,,Fujie,4,11,24,21,31,24
2501,M,y,FB,1,,,,Muth,21,4,19,23,15,19
2516,F,,,,,,,Westervelt,12,13,20,17,7,1
2518,F,,,,,,,Smith,4,24,29,31,30,29
2522,M,,,,,,,Cushman,2,9,10,22,13,10
2530,F,,,,,,,Mirabile,12,13,31,23,25,31
2536,M,,,,1,,,Westervelt,15,14,23,7,31,23
2550,F,,,,,,,Drayton,8,12,13,14,27,13
2553,M, ,,2,,,,JohnsonL,12,13,30,25,31,1
2560,M,,,,,,,Morrill,21,11,4,18,3,4
2569,M,y,BB,,,,,Schestag,21,9,7,15,13,7
2573,M,,,,,,,Copenhaver,10,12,20,13,18,1
2587,M,y,BB,,1,,,Drayton,7,12,9,18,23,9
2589,F,,,,,,,Drayton,11,18,12,29,7,12
2591,F,,,,,,,Reed,17,21,11,7,20,11
2599,M,,,,,,,Cameron-Dominguez,3,4,34,32,33,34
2602,F,,,,,,,Drayton,2,12,13,4,25,13
2611,F, ,,,,,,Muth,10,18,19,9,8,19
2624,F,,,,,,,Copenhaver,19,12,13,27,11,13
2629,F,,,,,,,Lochner,22,34,11,4,21,11
2630,F,,,,,,,JohnsonC,10,18,28,25,9,28
2633,M,,,,,,,Muth,21,13,10,11,14,10
2639,F,,,,,,,Mirabile,21,25,20,18,31,2
2642,F,,,,,,,Smith,9,25,8,28,14,8
2661,F,,,,,,,Cameron-Dominguez,12,31,7,15,21,7
2669,M,,,, ,,,JohnsonL,15,31,22,19,8,22
2679,F,,,2,,,,Reed,18,25,23,12,31,23
2682,F,,,,,,,Ritchey,25,7,21,12,9,21
2702,F,,,,,,,JohnsonL,28,5,14,15,13,14
2722,F, ,,,,,,Copenhaver,12,4,20,23,13,1
2728,M,y,FB MTF,,2,,,Muth,9,21,30,19,13,1
2740,F,,,,,,,Drayton,16,11,13,4,25,13
2750,F,,,,,,,JohnsonL,23,32,28,19,11,28
2757,F,,,,,,,Williams,4,3,9,1,32,9
2758,F,,,,,,,Schestag,12,13,10,11,25,10
2765,F,,,,,,,Reed,21,4,31,29,32,31
2770,F,,,,,,,Galaty,2,23,14,4,28,14
2773,F,y,WTF,,,,,Ritchey,12,11,19,22,25,19
2783,M,,,,,,,Lochner,2,4,21,19,10,21
2798,F,,,,,,,Simek,23,31,11,13,17,11
2801,F,,,,,,,JohnsonL,27,8,21,9,4,21
2806,M,,,,,,,Sweek,11,19,21,18,4,21
2810,F,,,,,,,Ritchey,18,11,12,28,13,12
2812,F,,,,,,,Reed,4,34,33,3,32,33
2831,M,,, ,,,,Sweek,11,16,10,22,12,10
2832,M,,,,1,,,Mirabile,27,12,33,7,25,33
2839,M,,,,,,,Holzwarth,15,19,21,11,1,21
2859,M,,,,,,1,Copenhaver,18,12,11,4,23,11
2863,M,,,,,,,Muth,21,17,13,10,9,13
2867,F,,,2,,,,Cushman,10,20,30,17,23,2
2868,F,,,1,,,,Glosser,12,13,25,26,11,25
2869,M,,,2,,,,Toutonghi,12,32,11,7,3,11
2883,F,,,,,,,Cameron-Dominguez,11,13,31,28,7,31
2886,M,y,MBK,2,,,,Galaty,10,29,20,19,18,20
2898,F,,,,,,,Westervelt,18,19,15,28,8,15
2901,,,,,,,,,,,,,,
2903,F,,,,,,,Sweek,12,17,7,13,31,7
2909,M, ,,,,,,JohnsonL,9,19,25,8,24,25
2913,M,y,FB,1,,,,Williams,28,12,13,11,3,13
2919,F,,,,,,,Muth,,,,,,
2920,F,,,,,,,Holzwarth,18,12,11,28,19,11
2921,F,,,,,,,Toutonghi,15,18,4,25,12,4
2923,M,,,,,,,Muth,21,10,22,9,17,22
2926,F,,,,,,1,Smith,7,26,9,21,19,9
2932,M,,,,,,,Mirabile,21,13,24,11,25,24
2955,M,,,,,,,Cameron-Dominguez,3,19,5,11,8,5
2963,F,,,,,,,JohnsonL,11,15,31,21,24,31
2966,F,,,,,,,Mirabile,21,9,10,24,18,10
2981,F,,,,,,,Sweek,25,19,28,26,12,28
2985,F,,,2,,,,Schestag,18,7,12,31,12,12
2995,F,,,,,,,Smith,2,7,23,12,17,23
2996,M,,,,,,,Ritchey,11,31,24,17,32,24
2997,F,y,WTF,2,,,, ,23,28,4,15,1,4
2999,F,,,,,,,Holzwarth,5,15,3,2,,3
3020,F,,,,,,,Cushman,4,23,21,29,17,21
3023,F,,,1,,,,Holzwarth,13,11,12,15,31,12
3035,F,,,,,,,Williams,19,13,18,27,7,18
3037,F,,,,,,,Cameron-Dominguez,12,21,7,15,13,7
3043,M,,,,,,,Glosser,4,21,12,25,17,12
3045,M,y,FB,,,,,Reed,2,10,18,4,15,18
3078,F,,,,,,,Cameron-Dominguez,13,12,31,19,1,31
3095,F,,,1,,,,JohnsonL,21,11,13,12,7,13
3104,F,,,,,,,Ritchey,17,23,18,9,1,18
3105,M,y,MSW,1,,,,Ritchey,11,5,21,19,3,21
3106,M,,,,,,,Holzwarth,13,12,19,31,10,19
3119,F,,,,,,,Galaty,19,11,31,17,7,31
3121,M,,,1,,,,JohnsonL,5,11,34,4,2,34
3131,M,y,FB,, ,,,Holzwarth,27,19,21,12,32,21
3142,F,,,1,,,,Schestag,9,10,17,23,29,17
3147,M,,,,,,,Drayton,22,21,9,13,15,9
3150,F,,,,,,,Copenhaver,23,18,27,7,32,27
3151,M,y,FB MTF,,,,,Roberts,32,27,30,25,9,2
3159,M,,,1,2,,,Drayton,19,28,29,13,17,29
3174,F,,,,,,,Roberts,13,29,17,7,23,17
3175,M,y,FB,2,,,,Toutonghi,,,,,,
3183,F,,,,,,,JohnsonC,28,31,3,12,4,3
